"Date","maxtempC","mintempC","totalSnow_cm","sunHour","uvIndex","uvIndex","moon_illumination","moonrise","moonset","sunrise","sunset","DewPointC","FeelsLikeC","HeatIndexC","WindChillC","WindGustKmph","cloudcover","humidity","precipMM","pressure","tempC","visibility","winddirDegree","windspeedKmph","maxtempC","Rain"
"1/1/2009","31","13","0","11","6","3.791666667","31","12:00 AM","12:00 AM","12:00 AM","12:00 AM","7.166666667","23.29166667","23.29166667","23.70833333","7.458333333","0.625","37.125","0","1012.875","20.5","10","77","4.5","31","0"
"1/2/2009","30","15","0","11","6","3.75","38","12:00 AM","12:00 AM","12:00 AM","12:00 AM","9.25","22.25","22.25","22.66666667","8.541666667","3.833333333","45","0","1013.625","20.95833333","10","122.6666667","5.458333333","30","0"
"1/3/2009","30","15","0","11","6","3.75","45","12:00 AM","12:00 AM","12:00 AM","12:00 AM","10.20833333","22.20833333","22.16666667","22.66666667","5.791666667","4.041666667","48.625","0","1014.833333","20.79166667","10","137.5416667","3.75","30","0"
"1/4/2009","31","14","0","11","6","3.875","52","12:00 AM","12:00 AM","12:00 AM","12:00 AM","11.25","22.75","22.91666667","23","4.458333333","5.291666667","51.875","0","1013.625","21.20833333","10","159.7083333","2.583333333","31","0"
"1/5/2009","30","15","0","11","6","3.833333333","60","12:00 AM","12:00 AM","12:00 AM","12:00 AM","11.20833333","22.79166667","23.04166667","22.95833333","7.125","8.416666667","51.20833333","0","1011.75","21.75","10","223.0416667","4.791666667","30","0"
"1/6/2009","29","15","0","11","6","3.791666667","67","12:00 AM","12:00 AM","12:00 AM","12:00 AM","10.25","23.5","23.875","24","7.25","1.625","46.29166667","0","1011.833333","20.95833333","10","218.9583333","5.25","29","0"
"1/7/2009","29","14","0","11","6","3.75","74","12:00 AM","12:00 AM","12:00 AM","12:00 AM","8.208333333","22.41666667","22.54166667","22.54166667","5.625","24.375","40.91666667","0","1012.791667","21.375","10","190.25","3.708333333","29","0"
"1/8/2009","28","20","0","11.1","6","3.791666667","82","12:00 AM","12:00 AM","12:00 AM","12:00 AM","10.375","23.75","24.375","23.79166667","6.75","23.25","43.45833333","0","1014.583333","23.08333333","10","163.5833333","4.875","28","0"
"1/9/2009","27","20","0","11.1","6","3.708333333","89","12:00 AM","12:00 AM","12:00 AM","12:00 AM","13.625","23.58333333","23.91666667","23.29166667","7.375","29.16666667","55.625","0","1015.583333","22.625","10","186.0416667","5.083333333","27","0"
"1/10/2009","31","19","0","11.1","6","3.833333333","96","12:00 AM","12:00 AM","12:00 AM","12:00 AM","14.08333333","24.79166667","25.33333333","24.5","6.791666667","27.75","54.70833333","0.008333333","1014.958333","23.875","9.375","134.0833333","4.958333333","31","1"
"1/11/2009","31","20","0","11.1","6","3.916666667","100","12:00 AM","12:00 AM","12:00 AM","12:00 AM","12","25.16666667","25.75","25.04166667","6.541666667","25.29166667","45.66666667","0","1015.083333","24.20833333","10","177.0416667","4.333333333","31","0"
"1/12/2009","31","19","0","11.1","6","3.958333333","89","12:00 AM","12:00 AM","12:00 AM","12:00 AM","10.75","24.29166667","24.70833333","24.58333333","5.416666667","14.79166667","43.83333333","0","1017","23.5","10","127.3333333","3.833333333","31","0"
"1/13/2009","30","17","0","11.1","6","3.875","82","12:00 AM","12:00 AM","12:00 AM","12:00 AM","9.583333333","23.625","24.29166667","23.95833333","10.625","4.875","41.54166667","0","1018.291667","22.66666667","10","95.20833333","7.25","30","0"
"1/14/2009","30","17","0","11.1","6","3.916666667","75","12:00 AM","12:00 AM","12:00 AM","12:00 AM","8.625","24","24.54166667","24.45833333","12","3.541666667","38.75","0","1018.458333","23.125","10","96.04166667","8.458333333","30","0"
